"gender","age","head.size","brain.wgt"
"M","20-46",4512,1530
"M","20-46",3738,1297
"M","20-46",4261,1335
"M","20-46",3777,1282
"M","20-46",4177,1590
"M","20-46",3585,1300
"M","20-46",3785,1400
"M","20-46",3559,1255
"M","20-46",3613,1355
"M","20-46",3982,1375
"M","20-46",3443,1340
"M","20-46",3993,1380
"M","20-46",3640,1355
"M","20-46",4208,1522
"M","20-46",3832,1208
"M","20-46",3876,1405
"M","20-46",3497,1358
"M","20-46",3466,1292
"M","20-46",3095,1340
"M","20-46",4424,1400
"M","20-46",3878,1357
"M","20-46",4046,1287
"M","20-46",3804,1275
"M","20-46",3710,1270
"M","20-46",4747,1635
"M","20-46",4423,1505
"M","20-46",4036,1490
"M","20-46",4022,1485
"M","20-46",3454,1310
"M","20-46",4175,1420
"M","20-46",3787,1318
"M","20-46",3796,1432
"M","20-46",4103,1364
"M","20-46",4161,1405
"M","20-46",4158,1432
"M","20-46",3814,1207
"M","20-46",3527,1375
"M","20-46",3748,1350
"M","20-46",3334,1236
"M","20-46",3492,1250
"M","20-46",3962,1350
"M","20-46",3505,1320
"M","20-46",4315,1525
"M","20-46",3804,1570
"M","20-46",3863,1340
"M","20-46",4034,1422
"M","20-46",4308,1506
"M","20-46",3165,1215
"M","20-46",3641,1311
"M","20-46",3644,1300
"M","20-46",3891,1224
"M","20-46",3793,1350
"M","20-46",4270,1335
"M","20-46",4063,1390
"M","20-46",4012,1400
"M","20-46",3458,1225
"M","20-46",3890,1310
"M","46+",4166,1560
"M","46+",3935,1330
"M","46+",3669,1222
"M","46+",3866,1415
"M","46+",3393,1175
"M","46+",4442,1330
"M","46+",4253,1485
"M","46+",3727,1470
"M","46+",3329,1135
"M","46+",3415,1310
"M","46+",3372,1154
"M","46+",4430,1510
"M","46+",4381,1415
"M","46+",4008,1468
"M","46+",3858,1390
"M","46+",4121,1380
"M","46+",4057,1432
"M","46+",3824,1240
"M","46+",3394,1195
"M","46+",3558,1225
"M","46+",3362,1188
"M","46+",3930,1252
"M","46+",3835,1315
"M","46+",3830,1245
"M","46+",3856,1430
"M","46+",3249,1279
"M","46+",3577,1245
"M","46+",3933,1309
"M","46+",3850,1412
"M","46+",3309,1120
"M","46+",3406,1220
"M","46+",3506,1280
"M","46+",3907,1440
"M","46+",4160,1370
"M","46+",3318,1192
"M","46+",3662,1230
"M","46+",3899,1346
"M","46+",3700,1290
"M","46+",3779,1165
"M","46+",3473,1240
"M","46+",3490,1132
"M","46+",3654,1242
"M","46+",3478,1270
"M","46+",3495,1218
"M","46+",3834,1430
"M","46+",3876,1588
"M","46+",3661,1320
"M","46+",3618,1290
"M","46+",3648,1260
"M","46+",4032,1425
"M","46+",3399,1226
"M","46+",3916,1360
"M","46+",4430,1620
"M","46+",3695,1310
"M","46+",3524,1250
"M","46+",3571,1295
"M","46+",3594,1290
"M","46+",3383,1290
"M","46+",3499,1275
"M","46+",3589,1250
"M","46+",3900,1270
"M","46+",4114,1362
"M","46+",3937,1300
"M","46+",3399,1173
"M","46+",4200,1256
"M","46+",4488,1440
"M","46+",3614,1180
"M","46+",4051,1306
"M","46+",3782,1350
"M","46+",3391,1125
"M","46+",3124,1165
"M","46+",4053,1312
"M","46+",3582,1300
"M","46+",3666,1270
"M","46+",3532,1335
"M","46+",4046,1450
"M","46+",3667,1310
"F","20-46",2857,1027
"F","20-46",3436,1235
"F","20-46",3791,1260
"F","20-46",3302,1165
"F","20-46",3104,1080
"F","20-46",3171,1127
"F","20-46",3572,1270
"F","20-46",3530,1252
"F","20-46",3175,1200
"F","20-46",3438,1290
"F","20-46",3903,1334
"F","20-46",3899,1380
"F","20-46",3401,1140
"F","20-46",3267,1243
"F","20-46",3451,1340
"F","20-46",3090,1168
"F","20-46",3413,1322
"F","20-46",3323,1249
"F","20-46",3680,1321
"F","20-46",3439,1192
"F","20-46",3853,1373
"F","20-46",3156,1170
"F","20-46",3279,1265
"F","20-46",3707,1235
"F","20-46",4006,1302
"F","20-46",3269,1241
"F","20-46",3071,1078
"F","20-46",3779,1520
"F","20-46",3548,1460
"F","20-46",3292,1075
"F","20-46",3497,1280
"F","20-46",3082,1180
"F","20-46",3248,1250
"F","20-46",3358,1190
"F","20-46",3803,1374
"F","20-46",3566,1306
"F","20-46",3145,1202
"F","20-46",3503,1240
"F","20-46",3571,1316
"F","20-46",3724,1280
"F","20-46",3615,1350
"F","20-46",3203,1180
"F","20-46",3609,1210
"F","20-46",3561,1127
"F","20-46",3979,1324
"F","20-46",3533,1210
"F","20-46",3689,1290
"F","20-46",3158,1100
"F","20-46",4005,1280
"F","20-46",3181,1175
"F","20-46",3479,1160
"F","20-46",3642,1205
"F","20-46",3632,1163
"F","46+",3069,1022
"F","46+",3394,1243
"F","46+",3703,1350
"F","46+",3165,1237
"F","46+",3354,1204
"F","46+",3000,1090
"F","46+",3687,1355
"F","46+",3556,1250
"F","46+",2773,1076
"F","46+",3058,1120
"F","46+",3344,1220
"F","46+",3493,1240
"F","46+",3297,1220
"F","46+",3360,1095
"F","46+",3228,1235
"F","46+",3277,1105
"F","46+",3851,1405
"F","46+",3067,1150
"F","46+",3692,1305
"F","46+",3402,1220
"F","46+",3995,1296
"F","46+",3318,1175
"F","46+",2937,1070
"F","46+",3580,1320
"F","46+",2939,1060
"F","46+",2989,1130
"F","46+",3586,1250
"F","46+",3156,1225
"F","46+",3246,1180
"F","46+",3170,1178
"F","46+",3268,1142
"F","46+",3389,1130
"F","46+",3381,1185
"F","46+",2864,1012
"F","46+",3740,1280
"F","46+",3479,1103
"F","46+",3647,1408
"F","46+",3716,1300
"F","46+",3284,1246
"F","46+",4204,1380
"F","46+",3735,1350
"F","46+",3218,1060
"F","46+",3685,1350
"F","46+",3704,1220
"F","46+",3214,1110
"F","46+",3394,1215
"F","46+",3233,1104
"F","46+",3352,1170
"F","46+",3391,1120
